"ravens_group","score","unique_id","start_time"
4,7,"06a9d378cba8dd58e944e63e675c243b8e582582","2021-10-19 16:59:29"
1,6,"5552730734d807ced21f1fab6286de5de9176d78","2021-10-19 17:02:20"
6,19,"63d57579dd42072703c74baeb2a5c6c1ea40c921","2021-10-19 17:17:29"
1,15,"885bbfd87955c125cf32e8987da9ad0c7a57908d","2021-10-19 20:32:09"
1,18,"322b7f833b3b20e870267acec543c53ad9c5f46f","2021-10-19 21:06:00"
5,22,"6287142774a65278461c2a6ced8f1c017647113b","2021-10-20 15:00:56"
6,21,"642bb023f9bac9d2112b4c3d62438bb08a8d82ea","2021-10-20 15:08:42"
6,4,"45dae0bb6965cdd57383bb39c6e43eccd15b1f1c","2021-10-20 16:05:31"
4,22,"9478f78d7b35b69ec4b41bc91770ddc0a5e35cbd","2021-10-20 17:04:52"
1,20,"8224630b4ffc8c8e0178d70e51a29f22c4a3d2be","2021-10-20 17:08:22"
5,17,"b25ce838208e89408bd5fd7c1d3e604a763d07b7","2021-10-20 17:30:34"
4,11,"c47671811e041a1703a676e8fa387f2f855486c2","2021-10-20 17:33:30"
6,5,"79967bffc7ee62ad730f2a5fdf31f79446bee229","2021-10-20 17:37:22"
1,27,"e467ae7e2a7f4ac6f6ff1a89f27db59adb634d72","2021-10-20 18:24:04"
6,8,"eadfaecf49f8846e211bb62df2d87d593b641bbc","2021-10-20 18:30:27"
2,10,"2ca8cecb783e227633149b58cdc152fb6c8f3183","2021-10-20 18:35:19"
4,11,"7a2edd443dc7e4636bba741f6d846fbce2e1629c","2021-10-20 18:41:08"
6,20,"21ac2962d575889460f02d690ff305a7e6c93e14","2021-10-20 19:07:21"
2,19,"f77d96768b1993e542e90e959689b5eb42cae125","2021-10-20 20:35:20"
2,12,"500ea57ef69be3b65148624db99a19988fd03725","2021-10-20 20:57:17"
6,18,"2790b3a7c224250ef823a1eb9fbd2313b45ac7cc","2021-10-20 21:00:00"
6,20,"c0407c6301db2e2c50a1ae691b08192e137dc0d5","2021-10-20 21:07:59"
1,22,"3f224f66a3dae1df7ac3c2b0598ed799e4a463dd","2021-10-20 21:20:49"
1,13,"a9948645f3eed89fc225b5dfaa78a56e4021ec45","2021-10-20 22:34:38"
2,17,"943d7db375d71b812c8c87b7494da19ee16623e4","2021-10-21 13:21:59"
4,8,"15479d55e52cc46715f42a09120c91ca99b52a59","2021-10-21 14:01:36"
2,10,"a97ec67ec54b0494453fa11ae05fe5142ca431ca","2021-10-21 14:50:49"
5,25,"2deb23bf7e8f75e2a1f762eff6cd5e3a43c3cc82","2021-10-21 15:52:52"
1,18,"05305980d6911b0a703646343fbab70d287da8d0","2021-10-21 15:59:01"
6,19,"3a900c24202d15239dafbb2075fb98810e75bab6","2021-10-21 18:12:44"
4,17,"9a3a14c58c59a4a5ebefe271a98a5818e39163e2","2021-10-21 18:26:30"
5,25,"fc4206209f2b023edfbd05af0ec70da97bbf54fb","2021-10-21 18:49:48"
4,26,"39bad82e321fa1d7fe75ef34c5a8386dd4bab0c5","2021-10-21 21:00:42"
1,21,"577b84292d46c265a2c08205141e3c7752fd8aa3","2021-10-21 21:04:20"
3,16,"35173cbcabc3d6cb3259f51b6cb5103ee6f15c47","2021-10-22 13:12:12"
4,30,"4ff4b6b687920487b707f5ceadd4f16750e7f4a8","2021-10-22 16:07:28"
2,15,"3dd1d39518f20f56d02319af854070930c020d15","2021-10-22 16:07:53"
2,29,"9a03427698c721672a4001c801c656a7b47263aa","2021-10-22 16:12:53"
4,13,"543ec847e1780ec1b2dc6bcf9bae586eb01e94d1","2021-10-22 16:13:31"
6,22,"88d8de0182c570f6de19a675fc7ec24c11293aa0","2021-10-22 16:15:42"
2,15,"6da81d70544d13589abb2161ea0dc3ee673e71ff","2021-10-22 17:12:40"
4,17,"cc62328739982ff19444f3b4988acf6a4c84a300","2021-10-22 17:17:12"
1,24,"bc8b58e8cd92b14471f66b561a27fda5394e014d","2021-10-22 17:35:48"
3,10,"60d56aef3354f4c24c51a70006e910e9bf89bd00","2021-10-22 18:06:51"
1,8,"dcd8aaa204b9f5347996c46f942e21b085c932a2","2021-10-22 18:07:52"
5,28,"86154184d1b0397624aacf20e30ca60a0123f892","2021-10-22 18:09:14"
4,12,"520a490120c3784d5c503c7eba26d404d8d2d70c","2021-10-22 18:09:20"
5,22,"63f244895138ed166a8954bb46d5035697473e69","2021-10-22 18:58:41"
6,27,"f05c5b457effe0dfb1cb3ef3fe3566e0e6450e82","2021-10-22 19:03:28"
5,17,"61d7deabadc9a74528184906e4b780435738fdd3","2021-10-22 19:06:07"
5,25,"632670d799adc249676aeffc686b5932311b6939","2021-10-22 19:23:30"
2,26,"f33a3a078d36b330dd4f2b986dccd3158fa0367d","2021-10-22 20:10:17"
2,30,"5143c08c64c9ab99af9254eaab97e08086ffd726","2021-10-22 20:10:35"
3,12,"fb695f289cd6c0e725f2141a57520646e803fd0f","2021-10-22 21:07:33"
1,24,"6b1e862dbda3145b8be3d23d359963ff80ad71e0","2021-10-22 21:07:41"
4,19,"2057544a84dcaaa00d4145c785ebaac4b6839edb","2021-10-22 21:08:42"
4,22,"a6223d733a457f7b8879949c2141b46f7f2eb442","2021-10-23 16:35:08"
6,24,"d557ce22190199d9e2abfc0b5a22708be0a7a917","2021-10-23 16:36:50"
5,31,"12bd3ac995d10a6a4f93d00d7de36728d1a9d883","2021-10-25 15:10:55"
2,26,"2d407b50fa9b7285ba55363281d6a04759c79fa0","2021-10-25 16:04:25"
6,16,"8c0cff38b58a99295ec77db47df2ac20ba4ec414","2021-10-25 16:11:54"
6,32,"7220c9fbd184c82d56114e277115521fb4171412","2021-10-25 17:18:40"
1,18,"a395674105a9a1bbf87b57f2e9bc946e93607e5c","2021-10-25 20:29:00"
2,21,"9eb8e82382be759d97623d9a9929303dd8d315d3","2021-10-25 21:00:57"
4,22,"69bb4813889d0b006143e8d692186091c1ab50aa","2021-10-26 14:35:52"
4,9,"8ee374d01b96a87368929ebccd0091125953afee","2021-10-26 16:17:35"
6,25,"485e483614b479dcd956a6981e39700c7c8ecaa6","2021-10-26 17:16:55"
1,13,"a6f8e73192e49873fc379e87cf681a3ccff9642a","2021-10-26 17:27:34"
1,17,"055bb07b61db0f3796142f273dfcc9cb4a76a1c1","2021-10-26 18:02:49"
4,16,"87e99417ee0d10818b2e0590a61ec79ade8aeab4","2021-10-26 18:14:49"
1,9,"3e6ae53cb31826133fc46aa691bdf4e81f47de9c","2021-10-26 19:07:08"
5,17,"f6ea0dcc48d10f2a04795583becafef06ce719d1","2021-10-26 19:12:45"
6,17,"70df815db6b984200c8a27d91c3ddec1dc3b5ae1","2021-10-27 15:04:56"
4,5,"c18482f7fe3dade61805d18f32217280d345b78e","2021-10-27 16:05:12"
2,7,"8e3421ad368d15eede3186402075410059783060","2021-10-27 16:06:39"
6,16,"542247cb422b3343318f94efb42ae74b9c365775","2021-10-27 16:06:40"
2,12,"74bf5dd88660b16a2f939d0aaf11956c63439f92","2021-10-27 16:12:06"
4,28,"0383ff1c6cd914d7f8d519b39f03eee7ae567529","2021-10-27 17:04:07"
5,27,"e0527e3d22e22af6e977985ac680ad941aaa2180","2021-10-27 17:08:03"
2,28,"d34ba98ebeb6e9e541dba1ac68fa4985a68e7bd8","2021-10-27 17:27:29"
5,22,"34aac87f7a79b995550d978afab16baafc0191a0","2021-10-27 20:06:12"
6,22,"70179f00785b14326938e9e9adc57ed29286ec6f","2021-10-27 20:33:18"
3,27,"9e13306ee08438ce83cf6c016781b84183912616","2021-10-27 20:56:36"
4,34,"f4f9e9f726dd723f90653a7d907eb3a74d5b84a9","2021-10-27 21:08:04"
5,30,"79e87665b28a3f816111c7f2a9af7ed9a2718cb3","2021-10-27 21:08:58"
4,21,"a4ee938c89aeaf1aa8233cba82275816b242ef62","2021-10-27 22:44:53"
3,31,"f0b5ce07fd81c7ca506cba586342c5cc01d987d8","2021-10-28 13:06:44"
4,22,"573011181a4e55c93e1a7e65336dbf07d6e8bf16","2021-10-28 16:30:24"
6,13,"fce39ddd8f68220d3e4bc4b5b14f9668e5731e74","2021-10-28 17:01:22"
2,32,"f225b8d97022e27e3738da1bd498b9ba5c418c9d","2021-10-28 17:07:34"
4,27,"58560221ca558175606fa076f1f1adbde85b738d","2021-10-28 17:08:22"
3,14,"bc9ed14c5a86ddd2abc8dc17e19958878f7e8b68","2021-10-28 18:13:46"
5,10,"b0115eb0bc3b650cccacda89c34f3901b0c1504e","2021-10-28 18:59:44"
5,20,"875132814b1242bbc3f4470cb23008ba754d8d08","2021-10-28 21:07:27"
1,17,"fbdc0bfdeeda72311663076611b8dd364e8719a8","2021-10-29 13:32:14"
5,20,"39de66970df3dc6eb282edb542dad145b8d159ae","2021-10-29 14:06:18"
1,13,"333cd2c0644ae75b1e7a7f340976d46c3733bb08","2021-10-29 14:16:22"
3,16,"5eceb34089e643fbae770a3923412f8aee67992d","2021-10-29 15:10:17"
6,26,"6a5be5b6ca9c14f94c88164e51cd938cf3109a66","2021-10-29 16:01:33"
6,19,"ee4a6388e130ad1db88017eb8ff4cf03f75e1019","2021-10-29 16:10:35"
3,11,"015e55478f281b12a0775b970d322f57e708665b","2021-10-29 17:02:25"
1,14,"6753b872f08b1b61e2d193cba9ae91db486994c1","2021-10-29 18:10:15"
4,5,"21e62f5904588232d2338f4192e79b7870233073","2021-10-29 18:51:50"
4,29,"f164fd056d0ed9448295a80ffed68c8df815abdc","2021-10-29 19:10:46"
6,17,"f9d0ad73f5aa38b45cb1e2ad2769b45d23b403bb","2021-10-29 19:33:39"
6,27,"5a125445f12ab956a4b7cafb360d697b08fbd2b7","2021-10-29 19:44:20"
1,17,"54cfe80f8b6c8f224d94b6dbceb4d57f94bccfbd","2021-10-30 16:03:51"
5,26,"52a10351a86c7af21653ea006808029018c2590d","2021-10-30 16:18:09"
2,24,"4a99dad4356cdf77d7947566766c41cd0a38deae","2021-11-01 17:19:31"
6,3,"3bb6d4c081046814b21f158a429fcb571d281330","2021-11-01 19:19:36"
5,18,"63626d9c56dd59a762a3b5dfec88f7afefc38cd7","2021-11-01 20:02:18"
